Plan Name,Plan URL,Plan Resolution,Planning Method,Acquisition,Easement,Stewardship,Habitat,Water Quality ,Resources/Species,Community Resilience,Ecosystem Resilience,Gulf Economy,Plan Timeframe,Agency Lead,Geo Extent,ref_num
Comprehensive Everglades Restoration Plan ,plan/fl46_CERPFSLoResSecure.pdf,Basin,data driven,yes,yes,yes,"Restore, Preserve and Protect Natural Habitats and Species","Hydrologic connectivity, water quality",Protect the S.Florida Ecosystem from the harmful effects of invasive exotic species,Foster the compatibility of built and natural systems,"Water Resources. use and manage lands in a manner compatible with ecosystem restoration, provide sufficient water resources for the built and natural systems",,,DOI,FL,46
Florida Forest Legacy Program Assessment of Need,http://www.freshfromflorida.com/content/download/74461/2124134/ForestLegacy_AON.pdf,Statewide,expert opinion,yes,yes,yes,"Pursue high quality forest lands that support statewide strategic conservation efforts: pine
plantations, natural pine, oak-pine, upland hardwoods, and bottomland hardwoods",,,,"Mitigate the state's rapid loss of environmentally important forests, focusing on those which are threatened by conversion from all sources",,,Florida Department of Agriculture and Consumer Services,FL,47
Florida Forest Service: Rural and Family Lands Protection Program (RFLPP),http://www.freshfromflorida.com/Divisions-Offices/Florida-Forest-Service/Our-Forests/Land-Planning-and-Administration-Section/Rural-and-Family-Lands-Protection-Program2,Statewide,expert opinion,no,yes,yes,Species Habitat,,"Protect natural resources, not as the primary purpose, but in conjunction with the economically viable agricultural operation",,,Protect valuable agricultural lands,,Florida Department of Agriculture and Consumer Services,FL,48
Florida Forever Five Year Plan (2017),http://www.dep.state.fl.us/lands/FFAnnual/FLDEP_DSL_OES_FloridaForeverAnnualReport2017_20170920.pdf,Statewide,data driven,yes,yes,yes,"Strategic Habitat Conservation
Areas;",,,,"Conservation will address the challenges of global climate change, including: sequester carbon,provide habitat, protect coastal lands or barrier islands,and otherwise mitigate and help adapt to the effects of sea-level rise and ",,2017,Florida Department of Environmental Protection,FL,49
Peninsular Florida LCC Conservation Planning Atlas,http://api.ning.com/files/4yN4f2JwhY13LoKUOgu1wYsduSVz-gkocS3sUHyExs4Lrnp2VK9O8MFjlD9bAdYKXASljEXYqpusEWHtavR*IddYU7IUOMPs/PFLCCCPAMay16v2small.pdf,Watershed,data driven,yes,yes,yes,Habitat Types (9 identified),,,Workling Lands & Cultural Socio-economic priorities,Landscape Connectivity,,2015,PFLCC,FL,50
Florida Wildlife Action Plan,plan/fl51_StateWildlifeActionPlan.pdf,Watershed,data driven,yes,yes,yes,Facilitate habitat conservation efforts on the following high-priority habitat categories to improve their health and resiliency and to achieve their long-term ecological sustainability statewide: Sandhill Spring and Spring Run Scrub Coral Reef Softwater Stream Seagrass,Preserving natural buffers along water bodies where adjacent uses have a high potential to degrade surface water quality; Preserving and restoring springs and surrounding areas to protect and improve surface and groundwater;Protecting groundwater quality by maintaining low intensity land uses,Preserving and/or restoring natural communities to support or enhance populations of native species,"Preserving floodplain areas to maintain storage capacity, attenuate floodwaters, and mitigate flood risk; Providing land for dispersed water storage, restoration, and water resource development projects",Watershed Protection,,2012,Florida Fish and Wildlife Conservation Commission,FL,51
Florida Forest Action Plan,http://stateforesters.org/sites/default/files/publication-documents/Florida%20National%20Priorities%20Addendum%202015.pdf,Statewide,data driven,yes,yes,yes,Longleaf Pine Ecosystems,,Conserve and Manage Working Forest Landscapes for Multiple Values and Uses,,Protect Forests from Threats,Enhance Public Benefits from Trees and Forests,,National Association of State Foresters,FL,52
"Florida Water Management District, Northwest",http://www.nwfwater.com/,Statewide,expert opinion,yes,yes,yes,,"Water Quality: Working to protect, maintain, and improve the quality of water resources across the panhandle. The District works to address water quality issues through a variety of activities including its Surface Water Improvement and Management program; springs restoration and protection projects; permitting; and land acquisition and management activities.",,"Water Supply: Ensuring a clean and adequate supply of water for the people and natural resources of the regions. This is done through a variety of activities, including water use permitting, water supply planning, and working with local governments to identify projects and programs to develop traditional and alternative water supplies, as well as conservation efforts that will help to ensure a sustainable supply of water for the future; Flood Protection: Promoting flood protection through non-structural techniques. These methods include acquiring and maintaining floodplains, regulatory activities, and providing technical expertise to local governments and state and federal agencies for flood protection programs.","Natural System Protection: Protecting and improving natural systems in Northwest Florida through land acquisition, management, and ecosystem restoration activities. Across the agency's divisions, the District works to protect and restore critical natural resources, including springs, coastal marshes, river floodplains and wetlands, for future generations",,,Florida Department of Environmental Protection,FL,53
Perdido River and Bay SWIM Plan,https://www.nwfwater.com/content/download/15863/110068/Perdido%20River%20and%20Bay%20SWIM%20Plan%20November%202017.pdf,Watershed,data driven,yes,yes,yes,"Natural systems protection, enhancement, and restoration, including estuarine, stream, wetland, and riparian habitat restoration","Water quality protection and improvement, focusing on prevention and abatement of NPS pollution",,,"Protection and, as necessary, restoration of floodplain functions",,2017,"Florida Water Management District, Northwest",Perdido Bay,54
Pensacola Bay System SWIM Plan,https://www.nwfwater.com/content/download/15861/110058/Pensacola%20Bay%20System%20SWIM%20Plan%20November%202017.pdf,Watershed,,,,,"Protect and maintain existing aquatic, wetland, and associated upland habitats; Facilitate the restoration of seagrasses, wetlands, riparian communities, and other habitats","Reduce NPS pollution from urban runoff and from agricultural and silvicultural activities, dirt roads, and other rural sources; Develop a realistic approach to mitigating the adverse impacts of contaminated sediments, restoring such sediments, and minimizing further degredation;  Work with DEP to reduce point source pollution and to identify system-wide pollutant loading. In conjunction with nonpoint source pollution assessment efforts, this should facilitate the establishment of TMDLs and PLRG","Facilitate the restoration and protection of fisheries and other biological, economic, and recreational resources.",,"Develop a more complete understanding of the biological status and trends of the system, and use this to facilitate  biological monitoring and assessment for management purposes",,2017,"Florida Water Management District, Northwest",Pensacola Bay,55
Choctawhatchee River and Bay SWIM Plan,https://www.nwfwater.com/content/download/15858/110043/Apalachicola%20River%20and%20Bay%20SWIM%20Plan%20November%202017.pdf,Watershed,data driven,yes,yes,yes,"Implement cooperative restoration projects, focused on water quality and aquatic, wetland, and riparian habitats",Reduce and minimize pollution from urban stormwater runoff and other nonpoint sources.,,Inform residents within the watershed about preservation efforts and personal actions that can be taken to protect and restore watershed resources,Maintain historic freshwater inflow to the system,,2017,"Florida Water Management District, Northwest",Choctawhatchee Bay,56
