Plan Name,Plan URL,Plan Resolution,Planning Method,Acquisition,Easement,Stewardship,Habitat,Water Quality ,Resources/Species,Community Resilience,Ecosystem Resilience,Gulf Economy,Plan Timeframe,Agency Lead,Geo Extent,ref_num
Elmer's Island Wildlife Refuge Management Plan,http://www.wlf.louisiana.gov/refuge/elmers-island,Barrier Island,expert opinion,yes,no,yes,Restoring the habitat to benefit the native ecosystem.,,Protecting endangered and threatened species through regulatory and habitat management; More than 170 species of birds are believed to utilize Elmer's Island and the surrounding beach and marsh during some point in their life cycle; almost 40 of these species are listed as bird species of conservation concern in Louisiana. ,,,,2017,Louisiana Department of Wildlife and Fisheries,Elmer's Island,298
Next Steps for a Healthy Gulf of Mexico Watershed Atchafalaya Landscape at a Glance,https://www.fws.gov/southeast/gulf-restoration/next-steps/focal-area/atchafalaya-basin/,Statewide,expert opinion,yes,yes,yes,"Protect and restore bottomland hardwood and cypress-tupelo forests for increased habitat buffer and connectivity to benefit the Louisiana black bear, neotropical migrant landbirds, and other forest species, and to provide habitat for wading birds, aquatic species and waterfowl, Identify potential sites to improve swamp habitat and health of forest stands for wildlife, such as lands in agricultural production (e.g., areas of the Morganza Spillway that have potential for conversion back into bottomland hardwoods) and cypress-tupelo wetland forest that could be restored through plantings and regeneration","Restore hydrology and improve water and sediment distribution in the Atchafalaya River floodplain and to coastal wetlands by implementing sediment management practices and hydrological features that aid in the redirection of sediment and water to areas where those resources are in deficit or are in excess, Work with the state of Louisiana, U.S. Army Corps of Engineers, parishes, nongovernmental organizations (NGOs) and private landowners to find common ground for basin management among flood control, commercial/recreational fisheries, navigation, oil and gas, recreational and cultural interests","Implement land conservation and associated forest management practices (e.g., timber harvest, thinning and regeneration) that provide a mix of habitats necessary for the suite of forest species and ensure high quality wintering habitat for American woodcock, Focus on increasing contiguous forested habitat and providing forested corridors between intact habitat blocks, such as securing wildlife (e.g., Louisiana Black Bear) movement corridors across U.S. Highway 90",,Work with the Louisiana Department of Wildlife and Fisheries to implement their green infrastructure network for Wildlife Management Area and NWRs,,2017,USFWS,LA,299
Atchafalaya Basin Annual Plan,http://www.dnr.louisiana.gov/assets/OCM/ABP/DRAFT2019ABPPlanOct5LOWRES.pdf,Basin,expert opinion,,,,,,,,,,2019,LDNR,Basin,300
Louisiana's Comprehensive Master Plan for a Sustainable Coast,plan/la301_DRAFT-2017-Coastal-Master-Plan.pdf,Statewide,data driven,no,no,no,"Coastal Habitats. Provide habitats suitable to support an array of commercial and recreational activities coast wide.Marsh
Creation,Ridge Restoration",,,"Flood Protection: Reduce economic losses from storm surge based flooding to residential, public, industrial, and commercial infrastructure. Sustain the unique cultural heritage of coastal Louisiana by protecting historic properties and traditional living cultures and their ties and relationships to the natural environment. Shoreline Protection, Nonstructural Risk Reduction, Structural Protection, Ridge Restoration","harness the natural processes that built Louisiana's coastal landscape. Hydrologic
Restoration, Sediment Diversion,Shoreline Protection",Working Coast. Promote a viable working coast to support regionally and nationally important businesses and industries. Ensure that our coast continues to be both a Sportsman's Paradise and a hub for commerce and industry,2017,CPRA,LA,301
Louisiana Coastal and Estuarine Land Conservation Program,plan/la302_celcpplanlafinal.pdf,Statewide,expert opinion,yes,yes,yes,"Wetlands, Shorelines, and Adjacent Uplands (undeveloped, natural habitat) are priority; Special consideration will be applied to Coastal Forest, landforms such as Cheniers/Natural Levees, and other lands that serve as protection and allows for the coast to be more resilient from hurricanes. Land purchases that include Natural Heritage sites will receive special consideration.  Corridors/Connectivity and/or Core Conservation Areas ",,"Biotic Production (fisheries, wildlife, etc.), Migrating Bird Habitat"," Recreation/Public Access and Compatibility, Historic or Cultural Aesthetic ",Landscape Processes & Functions,,2011,LDNR,LA,302
BTNEP Conservation Mgmt Plan ,https://btnep.org/about-btnep/ccmp/,Estuary,expert opinion,,,yes,Habitat restoration is necessary when natural or human-made degradation of habitat threatens natural ecosystems,Water Quality Improvement,Migratory and Resident Birds,,Native Plant Production,,2017,BTNEP Management Team,Estuary,303
Resilient New Orleans Strategic Actions to Shape our future city,http://resilientnola.org/wp-content/uploads/2015/08/Resilient_New_Orleans_Strategy.pdf,Parish,expert opinion,no,no,no,"By protecting and restoring our coast, New Orleans can reduce flood risk, protect critical economic assets, and safeguard indispensable wildlife habitat and recreational areas",,,Incentivize property owners to invest in risk reduction; Invest in comprehensive and innovative urban water management,,,,,New Orleans,304
"New Directions 2025, St. Tammany Land Use Plan",plan/la305_Vol_4_Map_Compendium.pdf,Parish,expert opinion,no,no,no, preservation of wildlife habitat – both for recreational purposes and for benefits not fully measurable at this time.," enhancement of stream and lake water quality, again for public health purposes",,Retention of storm water to minimize flood destruction and risk to life safety,"prioritizing a linked greenspace network� was sought, both for recreational and habitat purposes; stream corridors – and in many cases, their tributaries and branches – that are in a floodplain or provide continuous natural coverage and provide for storm water retention and habitat; and othercorridors, such as the Tammany Trace and the Lakefront",,2006,St. Tammany Parish,St. Tammany,305
St. James Government Comprehensive Plan 2030,plan/la306_St. James Parish Comprehensive Plan (PDF).pdf,Parish,expert opinion,no,no,no,,,,,,,,,St. James,306
Envision Livingston A Comprehensive Master Plan for Investing in Our Future,http://96bda424cfcc34d9dd1a-0a7f10f87519dba22d2dbc6233a731e5.r41.cf2.rackcdn.com/livingstonparishchamber/Master_Plan_-_Approved_by_the_Council_May_23_2013.pdf,Parish,stakeholder driven,no,no,no,,,,Revise floodplain regulations and strengthen flood protection provisions,,"Identify and protect historic resources, Identify locations for a canoe/kayak trail on the Tangipahoa River",2013,Livingston Parish,Livingston,307
Tangipahoa,plan/la308_2008-Comprehensive-Plan-Final-Adopted-Copy.pdf,Parish,expert opinion,no,no,no,Protect Ecosystems and Habitat,"Improve quality of stormwater runoff before it reaches streams, rivers, and lakes: The Parish shall adopt land development regulations that require “bioswales” and on-site stormwater detention and retention, with water filtered through a constructed wetland before outflow to the public servitude. ",,,,,,,Tangipahoa,308
