Plan Name,Plan URL,Plan Resolution,Planning Method,Acquisition,Easement,Stewardship,Habitat,Water Quality ,Resources/Species,Community Resilience,Ecosystem Resilience,Gulf Economy,Plan Timeframe,Agency Lead,Geo Extent,ref_num
Pass Christian Comprehensive Plan,http://pass-christian.com/PDF/Comprehensive%20Plan.pdf,City,stakeholder driven,no,no,yes,,,,Greenways Encouragement,Storm Drainage Mangement,,2006,City of Pass Christian,Pass Christian,118
Biloxi Comprehensive Plan,https://www.biloxi.ms.us/departments/community-development/comprehensive-plan/,City,stakeholder driven,no,no,yes,,,,Flood Resiliency,Reduces Storm Vulnerability,,2009,City of Biloxi,Biloxi,119
City of Gautier Comprehensive Plan 2030,plan/ms120_2030-Gautier-Comprehensive-Plan.pdf,City,stakeholder driven,no,no,yes,,,,Flood Resiliency,,,2009,City of Gautier,Gautier,120
Moss Point Comprehensive Plan,plan/ms121_updated_Final Comprehensive Plan_201703101112461284.pdf,City,stakeholder driven,no,no,yes,,,,,Floodplain Protection,,2009,City of Moss Point,Moss Point,121
D'Iberville Comprehensive Plan,http://diberville.ms.us/home/wp-content/uploads/2012/03/Comp-Plan-Approved-Nov-16-20101.pdf,City,stakeholder driven,no,no,yes,Existing Federal Preservation Region Management,,,Flood Hazard Management,,,2010,City of D'Iberville,D'Iberville,122
Pascagoula Comprehensive Plan,http://www.cityofpascagoula.com/DocumentCenter/Home/View/932,City,stakeholder driven,no,no,yes,Habitat Protection,,,Flood Harzard,,,2010,City of Pascagoula,Pascagoula,123
Waveland Comprehensive Plan,http://gulfcoastplan.org/wp-content/uploads/2011/10/2009-Waveland-Comprehensive-Plan.pdf,City,stakeholder driven,no,no,yes,,,Green spaces and Forested Conservation,,,,2010,City of Waveland,Waveland,124
City of Ocean Springs Comprehensive Plan,plan/ms125_OSCompPlanFinal-lettersize.pdf,City,stakeholder driven,no,no,yes,Wetlands Protection,,,,Floodplains Protection & Soil and Sediment Preservation,,2010,City of Ocean Springs,Ocean Springs,125
Bay St. Louis Hazard Mitigation Plan,http://www.baystlouis-ms.gov/documents/City%20of%20Bay%20St.%20Louis%20Local%20Hazard%20Mitigation%20Plan.pdf,City,stakeholder driven,no,yes,no,,Water Conservation,,Natural Disaster Harzard,Soil Conservation,,2011,City of Bay St. Louis,Bay St. Louis,126
Diamondhead Comprehensive Plan,http://diamondhead.ms.gov/wp-content/uploads/2015/11/25_year_comprehensive_Plan.pdf,City,stakeholder driven,no,no,yes,,,,Flood Hazard,,,2012,City of Diamondhead,Diamondhead,127
2012 Jackson County Multi-jurisdictional Hazard Mitigation Plan,plan/ms128_hazardplan2012.pdf,County,stakeholder driven,no,yes,no,,,,Natural Disaster Hazards,Ecosystem Vulnerability,,2012,Jackson County and Cities,Jackson,128
"City of Gautier, Mississippi, Strategic Plan 2013-2018",https://www.yumpu.com/en/document/view/38794907/strategic-plan-2013-2018-city-of-gautier,City,stakeholder driven,no,no,yes,,,,Recreation Needs,,,2012,City of Gautier,Gautier,129
Long Beach Comprehensive Plan,http://www.cityoflongbeachms.com/Planningzoning/smartcode/011310_LB_Final%20Comprehensive%20Plan%20ALL.pdf,City,stakeholder driven,yes,no,yes,,,,Flood Hazard Mitigation,,,2013,City of Long Beach,Long Beach,130
Bilox Mitigation Floodplain Management Plan 2013-2017,http://www.biloxi.ms.us/residents/storm-and-flood-preparedness/hazard-mitigation/,City,stakeholder driven,no,yes,yes,,,,,Floodplain Management,,2013,City of Biloxi,Biloxi,131
