Plan Name,Plan URL,Plan Resolution,Planning Method,Acquisition,Easement,Stewardship,Habitat,Water Quality ,Resources/Species,Community Resilience,Ecosystem Resilience,Gulf Economy,Plan Timeframe,Agency Lead,Geo Extent,ref_num
"Restoration, Management, and Monitoring of Forest Resources in the Mississippi Alluvial Valley: Recommendations for Enhancing Wildlife Habitat by the Lower Mississippi Joint Venture, 2007",https://www.murraystate.edu/colorbox/biology/faculty/gagnon/Bottomland%20Forest%20Report%20LMVJV.Reduced.pdf,Regional,expert opinion,yes,yes,yes,"provide forested habitat capable of supporting sustainable populations of all forest-dependent wildlife species, manage cane in bottomland hardwood habitats",,"Canebrakes are still prime habitat for the threatened Louisiana black bear and several migratory birds including American woodcock (S c o l o p a x minor), Swainson’s warbler (Limnothlypis swainsonii) and hooded warbler (Wilsonia citrina) (Thomas et al. 1996, Moorman et al. 2002). The rare and possibly extinct Bachman’s warbler (Vermivora bachmanii) and at least six satyrine and skipper butterflies are also considered cane obligates (Remsen 1986, Brantley and Platt 2001)",,,,2007,Lower Mississippi Valley Joint Venture: Forest Resource Conservation Working Group,MS,185
Open Pine Landbird Plan West Gulf Coastal Plain/Ouachitas,http://www.lmvjv.org/library/WGCPO_Landbird_Open_Pine_Plan_Oct_2011.pdf,Regional,expert opinion,yes,yes,yes,conservation of open pine habitat is a high priority action for natural resource agencies and organizations,,"Eleven bird species have been designated as warranting conservation concern or given priority status in open pine habitats of the WGCPO, four species (ed-cockaded woodpecker (Picoides borealis), Bachman’s sparrow (Peucaea aestivalis), brown-headed nuthatch (Sitta pusilla), and northern bobwhite (Colinus virginianus), are identified as ""umbrella species” having collective habitat requirements considered sufficient to meet the needs of all priority species in open pine habitat",,,,2011,Lower Mississippi Valley Joint Venture:,MS,186
Southeast United States Regional Waterbird Conservation Plan,plan/reg187_SE_Waterbird_Plan.pdf,Regional,expert opinion,no,no,no,"Restoration and protection of habitats essential for conservation.   Protect populations and habitats in areas essential for conservation of highpriority brush and tree nesting species (i.e. the Everglades, Florida Bay, Texas and Louisiana coastal marshes); Protect and restore nesting beaches for beach nesting waterbirds; Protect and manage marsh, wet prairie, savanna, and grassland habitat for marshbirds.",,Recovery of declining and otherwise vulnerable high priority species and subspecies (especially listed taxa) to healthy population levels region-wide. Maintenance of healthy populations of other species.,,,,2006,USFWS Region 4,Regional,187
Gulf Coast Joint Venture: Mississippi River Coastal Wetlands Initiative,http://www.gcjv.org/docs/MSRcoastpub.pdf,Regional,expert opinion,no,no,yes,"maintenance (i.e., loss prevention), restoration, enhancement, and creation of wetland habitat.",,"provide wintering and migration habitat for significant numbers of dabbling ducks, diving ducks, and snow geese, as well as year-round habitat for the mottled duck",,,,2002,USFWS,Regional,188
Vision for a Healthy Gulf of Mexico Watershed,https://www.fws.gov/gulfrestoration/pdf/VisionDocument.pdf,Regional,expert opinion,yes,yes,yes,"Restore Wetland and Aquatic Ecosystems; Protect and restore coastal strand, barrier island and estuarine island habitat",,Manage lands and waters for sustainable populations of fish and wildlife,,Create a network of public and private conservation lands; ,Conserve Working Lands,2017,USFWS,Regional,189
Southeastern Coastal Plains-Caribbean Region Report: US Shorebird Conservation Plan,http://www.outdooralabama.com/sites/default/files/images/File/Weeks_Bay/SECPCRRev02.pdf,Coastal_zone,expert opinion,no,no,yes,"Provide optimal breeding habitat to maintain and increase priority species in the planning region. 2. Provide high quality managed habitat to support successful migration through and overwintering within the planning region. 3. Maintain disturbance frequencies at breeding, foraging and roost sites below that which would be expected to exceed tolerance levels for successful reproduction or for maintaining fat stores needed for long-distance migration. 4. Work closely with beach managers and communities (to include sea turtle monitoring crews) and educate them on ways to minimize plover nest disturbance and to avoid running over plover chicks where use of vehicles are allowed on beaches. 5. Provide specific guidance for both private and public land managers to slow the timing of spring draw-downs and build in habitat recommendations involving teal considerations in autumn to closely match peak shorebird habitat needs in their respective areas.
6. Provide proper incentives for private cooperating landowners to delay planting for about a month. 8. When it is necessary to conduct beach renourishment projects, work with communities, State and Federal agencies, on the timing and design of the project to minimize disturbance and impacts on shorebird food base. 9. Maintain washovers, sandflats, and mudflats, especially on barrier islands created by hurricanes; that is, do not immediately attempt “repairs” to hurricane created habitat.","Work with all interested parties to improve freshwater inputs, in terms of both flows and quality, into estuarine systems.","1. Presently, maintain breeding populations and ensure high reproductive success to ensure sustainable populations of each of the highest priority species in the region. 2. During the next 50 years double the breeding population size for each of the highest priority species in the region and/or through population viability analyses determine population levels needed to ensure long-term viability.",,,,2002,USFWS,Coastal_zone,190
North American Waterbird Conservation Plan,http://www.outdooralabama.com/sites/default/files/images/File/Weeks_Bay/North_american_waterbird.pdf,Regional,expert opinion,yes,yes,yes,"To protect, restore, and manage sufficient high quality habitat and key sites for waterbirds throughout the year to meet species and population goals.",,"To ensure sustainable distributions, diversity and abundance of waterbird species throughout each of their historical or naturally expanding ranges in the lands and waters of North America, Central America, and the Caribbean",,,,,North American Waterbird Conservation Plan,Regional,191
North Amer. Waterfoul Mgmt Plan,https://www.fws.gov/birds/management/bird-management-plans/north-american-waterfowl-management-plan/plan-documents.php,Regional,expert opinion,yes,yes,yes," Goal 2: Wetlands and related habitats sufficient to sustain waterfowl populations at desired levels, while providing places to recreate and ecological services that benefit society.",,Goal 1: Abundant and resilient waterfowl populations to support hunting and other uses without imperiling habitat.,,,,2012,North American Waterfoul Conservation,Regional,192
2016 Landbird Conservation Plan,https://www.partnersinflight.org/,Regional,expert opinion,yes,yes,yes,,,"Maintain healthy bird populations, in natural numbers, in healthy habitats and ecosystems;Keep species from becoming threatened or endangered through proactive measures and science-based planning;Promote full life-cycle conservation of migratory birds throughout the Western Hemisphere;",,Promote the value of birds as indicators of environmental health and human quality of life.,,2016,,Regional,193
USFS Forest Legacy Program,https://www.fs.fed.us/sites/default/files/fs_media/fs_document/15541-forest-service-legacy-program-508.pdf,Regional,expert opinion,yes,yes,yes,protect environmentally important forest areas that are threatened by conversion to nonforest uses and to promote forestland protection and other conservation opportunities,,"protection of important scenic, cultural, fish, wildlife, and recreational resources, riparian areas, and other ecological values",,,,2017,USDA-USFS,Regional,194
Gulf of Mexico Initiative (GOMI),https://www.nrcs.usda.gov/wps/portal/nrcs/detail/national/programs/initiatives/?cid=stelprdb1046039,Regional,expert opinion,no,yes,yes,"cleaning and conserving water and restoring coastal ecosystems. By 2018, NRCS plans to work with producers to make conservation improvements to more than 3.2 million acres of working lands",improving water quality and enhancing wildlife habitat through several ongoing landscape level efforts,"Focus on the Gulf of Mexico Initiative zone with additional emphasis on priority ecosystems like longleaf pine forests, migratory bird habitat and coastal wetlands.",,Everglades Initiative,,2017,,Regional,195
Ag Land Easement (ALE) program,http://www.nrcs.usda.gov/wps/portal/nrcs/main/fl/programs/easements/.,Regional,expert opinion,no,yes,yes,Agricultural Conservation Easement Program provides financial and technical assistance to help conserve agricultural lands and wetlands and their related benefits,,,,,,2014,USDA-FS,Regional,196
Mississippi River Basin Initiative (MRBI),https://www.nrcs.usda.gov/wps/portal/nrcs/detail/national/programs/initiatives/?cid=stelprdb1046039,Regional,expert opinion,no,yes,yes,,"Implement conservation practices that when installed by producers will serve to avoid, control and trap nutrient runoff, prevent erosion and provide essential wildlife habitat. These practices benefit the natural resources of the Mississippi Basin and enhance agricultural profitability through reduced input and enhanced soil health, which results in higher soil organic matter, increased infiltration and water-holding capacity and nutrient cycling.",,,,,2016,USDA-NRCS,Regional,197
