Plan Name,Plan URL,Plan Resolution,Planning Method,Acquisition,Easement,Stewardship,Habitat,Water Quality ,Resources/Species,Community Resilience,Ecosystem Resilience,Gulf Economy,Plan Timeframe,Agency Lead,Geo Extent,ref_num
City of Fort Worth Comprehensive Plan,http://fortworthtexas.gov/comprehensiveplan/,Parish,stakeholder driven,yes,no,yes,,Waste Water Treatment,,,Floodplain & Soil Protection,Recreation Use & Park development,2017,City of Fort Worth,Fort Worth,230
City of Temple Comprehensive Plan,http://www.ci.temple.tx.us/892/Comprehensive-Plan,Parish,stakeholder driven,no,no,no,,,,,Soil Protection for Overfarming,Recreation Use & Park development,2008,City of Temple,Temple,231
City of Georgetown Comprehensive Plan,https://2030.georgetown.org/,Parish,stakeholder driven,no,no,no,Wildlife Habitat Protection,,,Flood Management,,Recreation Use & Park development,2008,City of Georgetown,Georgetown,232
City of Magnolia Comprehensive Plan,http://www.cityofmagnolia.com/index.asp?SEC=479759F3-C3D2-454D-9111-E1AB546B51D5&Type=B_BASIC,Parish,stakeholder driven,yes,no,yes,,,,,,Low-impact Recreational Facilities development,2015,City of Magnolia,Magnolia,233
City of Sugar Land Comprehensive Plan,https://www.sugarlandtx.gov/542/Comprehensive-Plan,Parish,stakeholder driven,no,yes,yes,,Waste Water Treatment,,,Floodplain Protection,Recreation Use & Park development,2012,City of Sugar Land,Sugar Land,234
Carrollton City Comprehensive Plan,http://www.cityofcarrollton.com/departments/departments-g-p/planning-zoning/comprehensive-plan,Parish,stakeholder driven,no,no,no,,,,,Floodplain Protection,Recreation Use & Park development,2003,Carrollton City,Carrollton,235
City of Live Oak Comprehensive Plan,plan/texas236_Full City Comprehensive Plan Zip File for download.zip,Parish,stakeholder driven,no,no,no,,,,,,Recreation Use & Park development,2010,City of Live Oak,Live Oak,236
City of Rosenberg Comprehensive Plan,https://rosenbergtx.gov/development/comprehensive-plan/,Parish,stakeholder driven,no,yes,no,,,,,Watershed Protection,,2015,City of Rosenberg,Rosenberg,237
City of Midlothian Comprehensive Plan,http://www.midlothian.tx.us/515/Comprehensive-Plan,Parish,stakeholder driven,no,yes,no,Habitat Protection,,,Soft Surface Trail Enhancements,Soil Protection,,2007,City of Midlothian,Midlothian,238
City of Huntsville Comprehensive Plan,http://www.huntsvilletx.gov/577/Comprehensive-Plan,Parish,stakeholder driven,no,yes,no,,,,,,Recreational opportunities in both Sam Houston National Forest and Huntsville State Park,2005,City of Huntsville,Huntsville,239
